iter	Passed	Remaining
0	0	67
1	1	70
2	1	62
3	2	58
4	3	58
5	3	58
6	4	56
7	4	55
8	5	53
9	5	52
10	6	51
11	6	50
12	7	51
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	44
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	23	33
42	24	32
43	24	31
44	25	31
45	25	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	43	13
76	43	12
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
